year,init_date,step,lead_hours,lead_day,mse,t2m_pred_gmean_k,t2m_truth_gmean_k,t2m_rmse_k,t2m_mean_bias_k
1955,1955-01-15,31,186.0,7.75,5.464054584503174,286.4989318847656,286.41391799579793,2.337531805038452,0.07476803660392761
1955,1955-01-15,32,192.0,8.0,5.904122352600098,286.2682800292969,286.1248410517719,2.429840087890625,0.14170730113983154
1955,1955-01-15,33,198.0,8.25,6.1043548583984375,286.263427734375,286.12041896837457,2.4706993103027344,0.11099664866924286
1955,1955-01-15,34,204.0,8.5,6.049239158630371,286.55364990234375,286.4189712484002,2.459520101547241,0.10666301846504211
1955,1955-01-15,35,210.0,8.75,6.0579328536987305,286.53729248046875,286.4065232359704,2.461286783218384,0.08666525781154633
1955,1955-01-15,36,216.0,9.0,6.537908554077148,286.3226318359375,286.15951076674077,2.5569334030151367,0.10238997638225555
1955,1955-01-15,37,222.0,9.25,7.0735087394714355,286.30938720703125,286.1165917762515,2.65960693359375,0.13096268475055695
1955,1955-01-15,38,228.0,9.5,7.592037200927734,286.6004943847656,286.4279251289281,2.7553651332855225,0.07748564332723618
1955,1955-01-15,39,234.0,9.75,8.017693519592285,286.589111328125,286.4042277992518,2.8315532207489014,0.09601730108261108
1955,1955-01-15,40,240.0,10.0,8.593076705932617,286.35052490234375,286.1119957742869,2.9313950538635254,0.15726925432682037
1955,1955-01-16,0,0.0,0.0,0.33374613523483276,286.19061279296875,286.2603841959536,0.5777076482772827,-0.052840013056993484
1955,1955-01-16,1,6.0,0.25,0.31278324127197266,286.2073669433594,286.197388680266,0.5592702627182007,0.006246049422770739
1955,1955-01-16,2,12.0,0.5,0.42213374376296997,286.52215576171875,286.5652946316523,0.6497182250022888,-0.04271167889237404
1955,1955-01-16,3,18.0,0.75,0.4264886677265167,286.52984619140625,286.5508810005298,0.6530609726905823,-0.022406598553061485
1955,1955-01-16,4,24.0,1.0,0.5821589827537537,286.2749328613281,286.2310577637186,0.7629934549331665,0.046928588300943375
1955,1955-01-16,5,30.0,1.25,0.6624212265014648,286.2361755371094,286.18956655472385,0.813892662525177,0.04875330626964569
